repo,tag,last_update
nvidia/cuda,11.1.1-cudnn8-runtime-ubuntu16.04,2022-05-28 05:37:07
nvidia/cuda,11.1.1-cudnn8-runtime-ubuntu18.04,2022-10-28 21:28:03
nvidia/cuda,11.1.1-cudnn8-runtime-ubuntu20.04,2022-10-28 02:29:30
nvidia/cuda,11.1.1-devel,2021-06-07 18:47:04
nvidia/cuda,11.1.1-devel-centos7,2022-10-28 05:57:57
nvidia/cuda,11.1.1-devel-centos8,2022-01-07 00:46:53
nvidia/cuda,11.1.1-devel-rockylinux8,2022-10-28 07:14:43
nvidia/cuda,11.1.1-devel-ubi7,2022-10-28 07:12:53
nvidia/cuda,11.1.1-devel-ubi8,2022-10-28 07:17:43
nvidia/cuda,11.1.1-devel-ubuntu16.04,2022-05-28 05:37:40
nvidia/cuda,11.1.1-devel-ubuntu18.04,2022-10-28 21:29:09
nvidia/cuda,11.1.1-devel-ubuntu20.04,2022-10-28 02:29:58
nvidia/cuda,11.1.1-runtime,2021-06-07 18:46:58
nvidia/cuda,11.1.1-runtime-centos7,2022-10-28 05:57:45
nvidia/cuda,11.1.1-runtime-centos8,2022-01-07 00:46:42
nvidia/cuda,11.1.1-runtime-rockylinux8,2022-10-28 07:14:09
nvidia/cuda,11.1.1-runtime-ubi7,2022-10-28 07:12:36
nvidia/cuda,11.1.1-runtime-ubi8,2022-10-28 07:17:21
nvidia/cuda,11.1.1-runtime-ubuntu16.04,2022-05-28 05:37:29
nvidia/cuda,11.1.1-runtime-ubuntu18.04,2022-10-28 21:28:45
nvidia/cuda,11.1.1-runtime-ubuntu20.04,2022-10-28 02:29:47
nvidia/cuda,11.2.0-base,2021-07-02 05:44:08
nvidia/cuda,11.2.0-base-centos7,2022-10-28 06:49:37
nvidia/cuda,11.2.0-base-centos8,2022-01-07 00:54:27
nvidia/cuda,11.2.0-base-rockylinux8,2022-10-28 22:05:33
nvidia/cuda,11.2.0-base-ubi7,2022-10-28 22:03:04
nvidia/cuda,11.2.0-base-ubi8,2022-10-28 07:04:38
nvidia/cuda,11.2.0-base-ubuntu16.04,2022-05-22 20:43:46
nvidia/cuda,11.2.0-base-ubuntu18.04,2022-10-28 21:52:28
nvidia/cuda,11.2.0-base-ubuntu20.04,2022-10-28 05:22:39
nvidia/cuda,11.2.0-cudnn8-devel,2021-07-02 05:43:55
nvidia/cuda,11.2.0-cudnn8-devel-centos7,2022-10-28 06:49:21
nvidia/cuda,11.2.0-cudnn8-devel-centos8,2022-01-07 00:53:48
nvidia/cuda,11.2.0-cudnn8-devel-rockylinux8,2022-10-28 22:03:03
nvidia/cuda,11.2.0-cudnn8-devel-ubi7,2022-10-28 22:01:52
nvidia/cuda,11.2.0-cudnn8-devel-ubi8,2022-10-28 07:01:07
nvidia/cuda,11.2.0-cudnn8-devel-ubuntu16.04,2022-05-22 20:43:32
nvidia/cuda,11.2.0-cudnn8-devel-ubuntu18.04,2022-10-28 21:50:37
nvidia/cuda,11.2.0-cudnn8-devel-ubuntu20.04,2022-10-28 05:19:07
nvidia/cuda,11.2.0-cudnn8-runtime,2021-07-02 05:43:43
nvidia/cuda,11.2.0-cudnn8-runtime-centos7,2022-10-28 06:49:29
nvidia/cuda,11.2.0-cudnn8-runtime-centos8,2022-01-07 00:54:06
nvidia/cuda,11.2.0-cudnn8-runtime-rockylinux8,2022-10-28 22:05:18
nvidia/cuda,11.2.0-cudnn8-runtime-ubi7,2022-10-28 22:02:56
nvidia/cuda,11.2.0-cudnn8-runtime-ubi8,2022-10-28 07:04:05
nvidia/cuda,11.2.0-cudnn8-runtime-ubuntu16.04,2022-05-22 20:43:39
nvidia/cuda,11.2.0-cudnn8-runtime-ubuntu18.04,2022-10-28 21:52:10
nvidia/cuda,11.2.0-cudnn8-runtime-ubuntu20.04,2022-10-28 05:21:44
nvidia/cuda,11.2.0-devel,2021-07-02 05:44:37
nvidia/cuda,11.2.0-devel-centos7,2022-10-28 06:49:53
nvidia/cuda,11.2.0-devel-centos8,2022-01-07 00:55:39
nvidia/cuda,11.2.0-devel-rockylinux8,2022-10-28 22:06:03
nvidia/cuda,11.2.0-devel-ubi7,2022-10-28 22:03:19
nvidia/cuda,11.2.0-devel-ubi8,2022-10-28 07:06:55
nvidia/cuda,11.2.0-devel-ubuntu16.04,2022-05-22 20:44:01
nvidia/cuda,11.2.0-devel-ubuntu18.04,2022-10-28 21:55:21
nvidia/cuda,11.2.0-devel-ubuntu20.04,2022-10-28 05:25:06
nvidia/cuda,11.2.0-runtime,2021-07-02 05:44:21
nvidia/cuda,11.2.0-runtime-centos7,2022-10-28 06:49:44
nvidia/cuda,11.2.0-runtime-centos8,2022-01-07 00:54:43
nvidia/cuda,11.2.0-runtime-rockylinux8,2022-10-28 22:05:48
nvidia/cuda,11.2.0-runtime-ubi7,2022-10-28 22:03:11
nvidia/cuda,11.2.0-runtime-ubi8,2022-10-28 07:05:50
nvidia/cuda,11.2.0-runtime-ubuntu16.04,2022-05-22 20:43:53
nvidia/cuda,11.2.0-runtime-ubuntu18.04,2022-10-28 21:53:48
nvidia/cuda,11.2.0-runtime-ubuntu20.04,2022-10-28 05:24:03
nvidia/cuda,11.2.1-base,2021-07-02 05:24:19
nvidia/cuda,11.2.1-base-centos7,2022-10-28 05:58:37
nvidia/cuda,11.2.1-base-centos8,2022-01-07 01:13:10
nvidia/cuda,11.2.1-base-rockylinux8,2022-10-28 21:04:58
nvidia/cuda,11.2.1-base-ubi7,2022-10-28 05:46:28
nvidia/cuda,11.2.1-base-ubi8,2022-10-28 00:42:29
nvidia/cuda,11.2.1-base-ubuntu16.04,2022-05-22 20:06:12
nvidia/cuda,11.2.1-base-ubuntu18.04,2022-10-28 20:59:08
nvidia/cuda,11.2.1-base-ubuntu20.04,2022-10-28 04:58:49
nvidia/cuda,11.2.1-cudnn8-devel,2021-07-02 05:24:08
nvidia/cuda,11.2.1-cudnn8-devel-centos7,2022-10-28 05:57:54
nvidia/cuda,11.2.1-cudnn8-devel-centos8,2022-01-07 01:12:31
nvidia/cuda,11.2.1-cudnn8-devel-rockylinux8,2022-10-28 21:02:34
nvidia/cuda,11.2.1-cudnn8-devel-ubi7,2022-10-28 05:44:26
nvidia/cuda,11.2.1-cudnn8-devel-ubi8,2022-10-28 00:38:19
nvidia/cuda,11.2.1-cudnn8-devel-ubuntu16.04,2022-05-22 20:05:47
nvidia/cuda,11.2.1-cudnn8-devel-ubuntu18.04,2022-10-28 20:56:06
nvidia/cuda,11.2.1-cudnn8-devel-ubuntu20.04,2022-10-28 04:56:08
nvidia/cuda,11.2.1-cudnn8-runtime,2021-07-02 05:23:49
nvidia/cuda,11.2.1-cudnn8-runtime-centos7,2022-10-28 05:58:28
nvidia/cuda,11.2.1-cudnn8-runtime-centos8,2022-01-07 01:12:46
nvidia/cuda,11.2.1-cudnn8-runtime-rockylinux8,2022-10-28 21:04:43
nvidia/cuda,11.2.1-cudnn8-runtime-ubi7,2022-10-28 05:45:56
nvidia/cuda,11.2.1-cudnn8-runtime-ubi8,2022-10-28 00:41:56
nvidia/cuda,11.2.1-cudnn8-runtime-ubuntu16.04,2022-05-22 20:06:02
nvidia/cuda,11.2.1-cudnn8-runtime-ubuntu18.04,2022-10-28 20:57:15
nvidia/cuda,11.2.1-cudnn8-runtime-ubuntu20.04,2022-10-28 04:58:28
nvidia/cuda,11.2.1-devel,2021-07-02 05:24:50
nvidia/cuda,11.2.1-devel-centos7,2022-10-28 05:59:00
nvidia/cuda,11.2.1-devel-centos8,2022-01-07 01:13:58
nvidia/cuda,11.2.1-devel-rockylinux8,2022-10-28 21:06:09
nvidia/cuda,11.2.1-devel-ubi7,2022-10-28 05:47:18
nvidia/cuda,11.2.1-devel-ubi8,2022-10-28 00:43:23
nvidia/cuda,11.2.1-devel-ubuntu16.04,2022-05-22 20:06:20
nvidia/cuda,11.2.1-devel-ubuntu18.04,2022-10-28 21:03:13
nvidia/cuda,11.2.1-devel-ubuntu20.04,2022-10-28 05:00:18
nvidia/cuda,11.2.1-runtime,2021-07-02 05:24:32
nvidia/cuda,11.2.1-runtime-centos7,2022-10-28 05:58:47
nvidia/cuda,11.2.1-runtime-centos8,2022-01-07 01:13:20
nvidia/cuda,11.2.1-runtime-rockylinux8,2022-10-28 21:05:16
nvidia/cuda,11.2.1-runtime-ubi7,2022-10-28 05:46:56
nvidia/cuda,11.2.1-runtime-ubi8,2022-10-28 00:43:01
nvidia/cuda,11.2.1-runtime-ubuntu16.04,2022-05-22 20:06:16
nvidia/cuda,11.2.1-runtime-ubuntu18.04,2022-10-28 21:01:08
nvidia/cuda,11.2.1-runtime-ubuntu20.04,2022-10-28 04:59:11
nvidia/cuda,11.2.2-base,2021-07-02 05:02:53
nvidia/cuda,11.2.2-base-centos7,2022-10-28 21:18:09
nvidia/cuda,11.2.2-base-centos8,2022-01-07 01:34:54
nvidia/cuda,11.2.2-base-rockylinux8,2022-10-28 06:26:35
nvidia/cuda,11.2.2-base-ubi7,2022-10-28 21:20:37
nvidia/cuda,11.2.2-base-ubi8,2022-10-28 21:50:30
nvidia/cuda,11.2.2-base-ubuntu16.04,2022-05-21 21:10:07
nvidia/cuda,11.2.2-base-ubuntu18.04,2022-10-28 05:05:41
nvidia/cuda,11.2.2-base-ubuntu20.04,2022-10-28 04:45:27
nvidia/cuda,11.2.2-cudnn8-devel,2021-07-02 05:02:41
nvidia/cuda,11.2.2-cudnn8-devel-centos7,2022-10-28 21:17:48
nvidia/cuda,11.2.2-cudnn8-devel-centos8,2022-01-07 01:33:51
nvidia/cuda,11.2.2-cudnn8-devel-rockylinux8,2022-10-28 06:24:10
nvidia/cuda,11.2.2-cudnn8-devel-ubi7,2022-10-28 21:19:15
nvidia/cuda,11.2.2-cudnn8-devel-ubi8,2022-10-28 21:47:09
nvidia/cuda,11.2.2-cudnn8-devel-ubuntu16.04,2022-05-21 21:09:53
nvidia/cuda,11.2.2-cudnn8-devel-ubuntu18.04,2022-10-28 05:03:15
nvidia/cuda,11.2.2-cudnn8-devel-ubuntu20.04,2022-10-28 04:42:12
nvidia/cuda,11.2.2-cudnn8-runtime,2021-07-02 05:01:58
nvidia/cuda,11.2.2-cudnn8-runtime-centos7,2022-10-28 21:18:01
nvidia/cuda,11.2.2-cudnn8-runtime-centos8,2022-01-07 01:34:05
nvidia/cuda,11.2.2-cudnn8-runtime-rockylinux8,2022-10-28 06:26:21
